;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1
0;Naive Bayes;prep_standard;Oversampling;BoW;(1, 1);8690;0.6752577319587629;0.6143612677947892
1;Naive Bayes;prep_standard;Oversampling;TF-IDF;(1, 1);8690;0.656701030927835;0.6120259816085243
2;FFNN (Updated);prep_standard;Oversampling;BoW;(1, 1);8690;0.6896907216494845;0.6524024931294182
3;FFNN (Updated);prep_standard;Oversampling;TF-IDF;(1, 1);8690;0.711340206185567;0.6662559455952066
4;Naive Bayes;prep_standard;Over+Undersampling;BoW;(1, 1);8690;0.6731958762886598;0.6115579735463267
5;Naive Bayes;prep_standard;Over+Undersampling;TF-IDF;(1, 1);8690;0.656701030927835;0.6098039378396841
6;FFNN (Updated);prep_standard;Over+Undersampling;BoW;(1, 1);8690;0.6896907216494845;0.6473017092549402
7;FFNN (Updated);prep_standard;Over+Undersampling;TF-IDF;(1, 1);8690;0.6989690721649484;0.6587689772909765
8;Naive Bayes;prep_standard;Oversampling;BoW;(1, 2);42978;0.6989690721649484;0.6290604577746786
9;Naive Bayes;prep_standard;Oversampling;TF-IDF;(1, 2);42978;0.6721649484536083;0.6362209393575627
10;FFNN (Updated);prep_standard;Oversampling;BoW;(1, 2);42978;0.668041237113402;0.6363121592723111
11;FFNN (Updated);prep_standard;Oversampling;TF-IDF;(1, 2);42978;0.7061855670103093;0.6797505456021926
12;Naive Bayes;prep_standard;Over+Undersampling;BoW;(1, 2);42978;0.7;0.6301879187966685
13;Naive Bayes;prep_standard;Over+Undersampling;TF-IDF;(1, 2);42978;0.6731958762886598;0.636970891792955
14;FFNN (Updated);prep_standard;Over+Undersampling;BoW;(1, 2);42978;0.6989690721649484;0.6523873030756472
15;FFNN (Updated);prep_standard;Over+Undersampling;TF-IDF;(1, 2);42978;0.6917525773195876;0.6543837189318819
16;Naive Bayes;prep_standard;Oversampling;BoW;(1, 3);80508;0.7051546391752578;0.6326544958736527
17;Naive Bayes;prep_standard;Oversampling;TF-IDF;(1, 3);80508;0.6556701030927835;0.6182804171973783
18;FFNN (Updated);prep_standard;Oversampling;BoW;(1, 3);80508;0.6721649484536083;0.6240888637305211
19;FFNN (Updated);prep_standard;Oversampling;TF-IDF;(1, 3);80508;0.7144329896907217;0.6850371006411345
20;Naive Bayes;prep_standard;Over+Undersampling;BoW;(1, 3);80508;0.7041237113402062;0.6319570998766636
21;Naive Bayes;prep_standard;Over+Undersampling;TF-IDF;(1, 3);80508;0.6556701030927835;0.6182804171973783
22;FFNN (Updated);prep_standard;Over+Undersampling;BoW;(1, 3);80508;0.6845360824742268;0.6431761412530932
23;FFNN (Updated);prep_standard;Over+Undersampling;TF-IDF;(1, 3);80508;0.7195876288659794;0.6883044075682028
24;Naive Bayes;prep_standard;Oversampling;BoW;(1, 4);115925;0.7082474226804124;0.6310888367523341
25;Naive Bayes;prep_standard;Oversampling;TF-IDF;(1, 4);115925;0.6556701030927835;0.6156961073745254
26;FFNN (Updated);prep_standard;Oversampling;BoW;(1, 4);115925;0.7103092783505155;0.6649236432715192
27;FFNN (Updated);prep_standard;Oversampling;TF-IDF;(1, 4);115925;0.7;0.6697080402694077
28;Naive Bayes;prep_standard;Over+Undersampling;BoW;(1, 4);115925;0.7082474226804124;0.6310888367523341
29;Naive Bayes;prep_standard;Over+Undersampling;TF-IDF;(1, 4);115925;0.6556701030927835;0.6156961073745254
30;FFNN (Updated);prep_standard;Over+Undersampling;BoW;(1, 4);115925;0.6804123711340206;0.6319807820035231
31;FFNN (Updated);prep_standard;Over+Undersampling;TF-IDF;(1, 4);115925;0.7412371134020619;0.7014062916395792
32;Naive Bayes;prep_standard;Oversampling;BoW;(1, 5);148102;0.7154639175257732;0.6395358816072844
33;Naive Bayes;prep_standard;Oversampling;TF-IDF;(1, 5);148102;0.6608247422680412;0.6215972266867648
