Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.657922350472193;0.5902723091352997;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6694648478488983;0.6073756183570871;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.664218258132214;0.5961516608985428;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.6537250786988458;0.5860133287140686;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.7166841552990556;0.6418186246404982;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6873032528856243;0.5989338601938093;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 2);SMOTETomek (Combined);0.6820566631689402;0.5920536038258767;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 2);Tomek (Undersampling);0.6883525708289612;0.6072216682979518;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 3);None (Imbalanced);0.7166841552990556;0.632264643179468;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 3);SMOTE (Oversampling);0.6925498426023085;0.60347864673617;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 3);SMOTETomek (Combined);0.6820566631689402;0.5838753090241734;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 3);Tomek (Undersampling);0.6977964323189927;0.6376759936329237;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 4);None (Imbalanced);0.7166841552990556;0.6316432433385701;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard;BoW;(1, 4);SMOTE (Oversampling);0.6873032528856243;0.5853865194547004;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard;BoW;(1, 4);SMOTETomek (Combined);0.6820566631689402;0.5776096343350222;{'alpha': 0.01, 'fit_prior': True}
