;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
0;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 1);6652;0.7072916666666667;0.6451570247116806;"BoW
(1, 1)"
1;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 1);6652;0.7041666666666667;0.5090941250266989;"TF-IDF
(1, 1)"
2;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 1);6652;0.765625;0.706234052816928;"BoW
(1, 1)"
3;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 1);6652;0.753125;0.6960426753740317;"TF-IDF
(1, 1)"
4;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 1);6652;0.6625;0.5883894258763247;"BoW
(1, 1)"
5;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 1);6652;0.65625;0.6079142336021964;"TF-IDF
(1, 1)"
6;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 1);6652;0.7041666666666667;0.6557729363224537;"BoW
(1, 1)"
7;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 1);6652;0.740625;0.6957423984887292;"TF-IDF
(1, 1)"
8;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 1);6652;0.6635416666666667;0.591863747110965;"BoW
(1, 1)"
9;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 1);6652;0.6583333333333333;0.6112214511868007;"TF-IDF
(1, 1)"
10;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 1);6652;0.7104166666666667;0.6579531747946318;"BoW
(1, 1)"
11;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 1);6652;0.7135416666666666;0.6795397374577297;"TF-IDF
(1, 1)"
12;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 1);6652;0.7041666666666667;0.6405888373113052;"BoW
(1, 1)"
13;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 1);6652;0.7010416666666667;0.5130722036139747;"TF-IDF
(1, 1)"
14;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 1);6652;0.7572916666666667;0.6931531418956739;"BoW
(1, 1)"
15;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 1);6652;0.765625;0.6959918193834994;"TF-IDF
(1, 1)"
16;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 2);35660;0.728125;0.6447460715764247;"BoW
(1, 2)"
17;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 2);35660;0.7;0.5020558582747637;"TF-IDF
(1, 2)"
18;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 2);35660;0.7458333333333333;0.6771821194155861;"BoW
(1, 2)"
19;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 2);35660;0.7510416666666667;0.7108951042748894;"TF-IDF
(1, 2)"
20;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 2);35660;0.6979166666666666;0.6174770949344521;"BoW
(1, 2)"
21;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 2);35660;0.675;0.6299554801780793;"TF-IDF
(1, 2)"
22;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 2);35660;0.690625;0.6510980071274103;"BoW
(1, 2)"
23;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 2);35660;0.7583333333333333;0.7126497618472459;"TF-IDF
(1, 2)"
24;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 2);35660;0.6989583333333333;0.6189917052092154;"BoW
(1, 2)"
25;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 2);35660;0.6760416666666667;0.6310744895394232;"TF-IDF
(1, 2)"
26;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 2);35660;0.721875;0.6838657507110296;"BoW
(1, 2)"
27;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 2);35660;0.7572916666666667;0.7044545940867012;"TF-IDF
(1, 2)"
28;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 2);35660;0.7291666666666666;0.6454612798365376;"BoW
(1, 2)"
29;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 2);35660;0.7;0.5079048198906665;"TF-IDF
(1, 2)"
30;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 2);35660;0.7645833333333333;0.7091117500046978;"BoW
(1, 2)"
31;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 2);35660;0.76875;0.7154258589143822;"TF-IDF
(1, 2)"
32;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 3);66798;0.7375;0.6500668007304163;"BoW
(1, 3)"
33;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 3);66798;0.6958333333333333;0.5057075882594819;"TF-IDF
(1, 3)"
34;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 3);66798;0.7677083333333333;0.7118101450319324;"BoW
(1, 3)"
35;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 3);66798;0.7541666666666667;0.7144079037483042;"TF-IDF
(1, 3)"
36;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 3);66798;0.7104166666666667;0.6303732916084376;"BoW
(1, 3)"
37;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 3);66798;0.6729166666666667;0.6262126625044905;"TF-IDF
(1, 3)"
38;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 3);66798;0.7177083333333333;0.6607526813922361;"BoW
(1, 3)"
39;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 3);66798;0.7322916666666667;0.6682479302516416;"TF-IDF
(1, 3)"
40;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 3);66798;0.7114583333333333;0.6311123666491693;"BoW
(1, 3)"
41;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 3);66798;0.6729166666666667;0.6262126625044905;"TF-IDF
(1, 3)"
42;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 3);66798;0.709375;0.647477379394147;"BoW
(1, 3)"
43;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 3);66798;0.7427083333333333;0.7028548568249656;"TF-IDF
(1, 3)"
44;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 3);66798;0.7364583333333333;0.647344970391936;"BoW
(1, 3)"
45;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 3);66798;0.6958333333333333;0.5088385305786571;"TF-IDF
(1, 3)"
46;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 3);66798;0.759375;0.6855236770436209;"BoW
(1, 3)"
47;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 3);66798;0.7541666666666667;0.6934281087262892;"TF-IDF
(1, 3)"
48;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 4);95962;0.7354166666666667;0.6437160673009731;"BoW
(1, 4)"
49;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 4);95962;0.6916666666666667;0.5023486402933305;"TF-IDF
(1, 4)"
50;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 4);95962;0.75;0.6794845842733167;"BoW
(1, 4)"
51;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 4);95962;0.734375;0.6952857144161492;"TF-IDF
(1, 4)"
52;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 4);95962;0.7177083333333333;0.6400686230407593;"BoW
(1, 4)"
53;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 4);95962;0.678125;0.632015618283459;"TF-IDF
(1, 4)"
54;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 4);95962;0.7166666666666667;0.665270306848864;"BoW
(1, 4)"
55;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 4);95962;0.753125;0.7135137122451752;"TF-IDF
(1, 4)"
56;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 4);95962;0.71875;0.6393475964857102;"BoW
(1, 4)"
57;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 4);95962;0.678125;0.632015618283459;"TF-IDF
(1, 4)"
58;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 4);95962;0.721875;0.6697264199884866;"BoW
(1, 4)"
59;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 4);95962;0.725;0.6708361922484185;"TF-IDF
(1, 4)"
60;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 4);95962;0.7364583333333333;0.6449332210725872;"BoW
(1, 4)"
61;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 4);95962;0.6895833333333333;0.499247361113879;"TF-IDF
(1, 4)"
62;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 4);95962;0.765625;0.7147425944792185;"BoW
(1, 4)"
63;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 4);95962;0.7802083333333333;0.7271782097997893;"TF-IDF
(1, 4)"
64;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 1);9288;0.721875;0.6370232881599548;"BoW
(1, 1)"
65;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 1);9288;0.6979166666666666;0.4898100615620287;"TF-IDF
(1, 1)"
66;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 1);9288;0.759375;0.6956316410861865;"BoW
(1, 1)"
67;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 1);9288;0.7625;0.7026737521717464;"TF-IDF
(1, 1)"
68;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 1);9288;0.6645833333333333;0.588914937233227;"BoW
(1, 1)"
69;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 1);9288;0.6739583333333333;0.6206585771976205;"TF-IDF
(1, 1)"
70;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 1);9288;0.7010416666666667;0.6577334011428914;"BoW
(1, 1)"
