;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
0;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 1);6723;0.7064989517819706;0.6259071246570006;"BoW
(1, 1)"
1;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 1);6723;0.6802935010482181;0.46488678830179614;"TF-IDF
(1, 1)"
2;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 1);6723;0.7358490566037735;0.6826159689322324;"BoW
(1, 1)"
3;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 1);6723;0.7410901467505241;0.6943292236843286;"TF-IDF
(1, 1)"
4;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 1);6723;0.6614255765199162;0.5929433641748233;"BoW
(1, 1)"
5;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 1);6723;0.649895178197065;0.6049020396813498;"TF-IDF
(1, 1)"
6;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 1);6723;0.7054507337526206;0.6515813486631993;"BoW
(1, 1)"
7;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 1);6723;0.7295597484276729;0.6744805867231523;"TF-IDF
(1, 1)"
8;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 1);6723;0.6614255765199162;0.5956005536777926;"BoW
(1, 1)"
9;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 1);6723;0.649895178197065;0.6046975453788291;"TF-IDF
(1, 1)"
10;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 1);6723;0.7054507337526206;0.6560807061790669;"BoW
(1, 1)"
11;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 1);6723;0.7295597484276729;0.6849815953643071;"TF-IDF
(1, 1)"
12;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 1);6723;0.7085953878406709;0.6301878315950414;"BoW
(1, 1)"
13;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 1);6723;0.6771488469601677;0.4678975620051202;"TF-IDF
(1, 1)"
14;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 1);6723;0.7337526205450734;0.6754533412358347;"BoW
(1, 1)"
15;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 1);6723;0.7421383647798742;0.7011097958840091;"TF-IDF
(1, 1)"
16;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 2);36004;0.709643605870021;0.6046662004823282;"BoW
(1, 2)"
17;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 2);36004;0.6771488469601677;0.45847606974827376;"TF-IDF
(1, 2)"
18;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 2);36004;0.740041928721174;0.6842051468670535;"BoW
(1, 2)"
19;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 2);36004;0.7295597484276729;0.6991974173757557;"TF-IDF
(1, 2)"
20;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 2);36004;0.6792452830188679;0.5964646872504419;"BoW
(1, 2)"
21;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 2);36004;0.6719077568134172;0.6339920470116702;"TF-IDF
(1, 2)"
22;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 2);36004;0.7169811320754716;0.6598580213640804;"BoW
(1, 2)"
23;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 2);36004;0.750524109014675;0.6925587531387319;"TF-IDF
(1, 2)"
24;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 2);36004;0.6802935010482181;0.5971770699328595;"BoW
(1, 2)"
25;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 2);36004;0.6708595387840671;0.6329964977363822;"TF-IDF
(1, 2)"
26;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 2);36004;0.7169811320754716;0.667977365102853;"BoW
(1, 2)"
27;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 2);36004;0.7610062893081762;0.7145740920108418;"TF-IDF
(1, 2)"
28;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 2);36004;0.7085953878406709;0.602952083618042;"BoW
(1, 2)"
29;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 2);36004;0.6792452830188679;0.4674119849999247;"TF-IDF
(1, 2)"
30;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 2);36004;0.7620545073375262;0.7081717695170994;"BoW
(1, 2)"
31;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 2);36004;0.7023060796645703;0.67466265541489;"TF-IDF
(1, 2)"
32;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 3);67386;0.7138364779874213;0.6072187400395562;"BoW
(1, 3)"
33;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 3);67386;0.6802935010482181;0.4704264299656235;"TF-IDF
(1, 3)"
34;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 3);67386;0.759958071278826;0.6984284273556415;"BoW
(1, 3)"
