Model,Vectorizer,N-Gram,prep_standard,prep_full,prep_masked
FFNN (Baseline),BoW,"(1, 1)",0.646930383049786,0.646930383049786,0.646930383049786
FFNN (Baseline),BoW,"(1, 2)",0.6440953412784399,0.6440953412784399,0.6440953412784399
FFNN (Baseline),BoW,"(1, 3)",0.6321126922573268,0.6321126922573268,0.6321126922573268
FFNN (Baseline),BoW,"(1, 4)",0.5898493669134481,0.5898493669134481,0.5898493669134481
FFNN (Baseline),BoW,"(1, 5)",0.604340109094944,0.604340109094944,0.604340109094944
FFNN (Baseline),BoW,"(2, 2)",0.5578321759569581,0.5578321759569581,0.5578321759569581
FFNN (Baseline),BoW,"(2, 3)",0.5280896458068726,0.5280896458068726,0.5280896458068726
FFNN (Baseline),BoW,"(2, 4)",0.5184971795180865,0.5184971795180865,0.5184971795180865
FFNN (Baseline),BoW,"(2, 5)",0.5088483146067416,0.5088483146067416,0.5088483146067416
FFNN (Baseline),BoW,"(3, 3)",0.40461427859754795,0.40461427859754795,0.40461427859754795
FFNN (Baseline),BoW,"(3, 4)",0.3686860317832004,0.3686860317832004,0.3686860317832004
FFNN (Baseline),BoW,"(3, 5)",0.3563701099945466,0.3563701099945466,0.3563701099945466
FFNN (Baseline),BoW,"(4, 4)",0.2965085836931722,0.2965085836931722,0.2965085836931722
FFNN (Baseline),BoW,"(4, 5)",0.27827738630058646,0.27827738630058646,0.27827738630058646
FFNN (Baseline),BoW,"(5, 5)",0.21645194235819085,0.21645194235819085,0.21645194235819085
FFNN (Baseline),TF-IDF,"(1, 1)",0.7107877924069065,0.7107877924069065,0.7107877924069065
FFNN (Baseline),TF-IDF,"(1, 2)",0.7238006412124744,0.7238006412124744,0.7238006412124744
FFNN (Baseline),TF-IDF,"(1, 3)",0.7220728926671506,0.7220728926671506,0.7220728926671506
FFNN (Baseline),TF-IDF,"(1, 4)",0.7146712159218293,0.7146712159218293,0.7146712159218293
FFNN (Baseline),TF-IDF,"(1, 5)",0.7143707336660357,0.7143707336660357,0.7143707336660357
FFNN (Baseline),TF-IDF,"(2, 2)",0.6869634029725814,0.6869634029725814,0.6869634029725814
FFNN (Baseline),TF-IDF,"(2, 3)",0.6642345192407426,0.6642345192407426,0.6642345192407426
FFNN (Baseline),TF-IDF,"(2, 4)",0.6653702504716668,0.6653702504716668,0.6653702504716668
FFNN (Baseline),TF-IDF,"(2, 5)",0.66180969646685,0.66180969646685,0.66180969646685
FFNN (Baseline),TF-IDF,"(3, 3)",0.6273576771527662,0.6273576771527662,0.6273576771527662
FFNN (Baseline),TF-IDF,"(3, 4)",0.6134296758649173,0.6134296758649173,0.6134296758649173
FFNN (Baseline),TF-IDF,"(3, 5)",0.6060420000003752,0.6060420000003752,0.6060420000003752
FFNN (Baseline),TF-IDF,"(4, 4)",0.5731048731553198,0.5731048731553198,0.5731048731553198
FFNN (Baseline),TF-IDF,"(4, 5)",0.5590473323653513,0.5590473323653513,0.5590473323653513
FFNN (Baseline),TF-IDF,"(5, 5)",0.5094698849572848,0.5094698849572848,0.5094698849572848
Naive Bayes,BoW,"(1, 1)",0.6171346880280756,0.6171346880280756,0.6171346880280756
