;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
0;Naive Bayes;prep_standard;BoW;(1, 1);None (Imbalanced);0.657922350472193;0.5902723091352997;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
1;FFNN;prep_standard;BoW;(1, 1);None (Imbalanced);0.7460650577124869;0.6988408790449928;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
2;Naive Bayes;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.657922350472193;0.5807019454123112;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
3;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6715634837355718;0.6213660754119061;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
4;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6621196222455404;0.5979101031478146;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 1)"
5;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6789087093389297;0.6282455568320592;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
6;Naive Bayes;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.6600209863588667;0.6200222302506221;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 1)"
7;FFNN;prep_standard;BoW;(1, 1);Tomek (Undersampling);0.7397691500524659;0.6910906527213917;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
8;Naive Bayes;prep_standard;BoW;(1, 2);None (Imbalanced);0.695697796432319;0.6151558076541312;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 2)"
9;FFNN;prep_standard;BoW;(1, 2);None (Imbalanced);0.7261280167890871;0.6701647651594239;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
10;Naive Bayes;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6778593913955928;0.5995334906608053;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 2)"
11;FFNN;prep_standard;BoW;(1, 2);SMOTE (Oversampling);0.6768100734522561;0.625673893883307;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
12;Naive Bayes;prep_standard;BoW;(1, 2);SMOTETomek (Combined);0.6820566631689402;0.5920536038258767;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 2)"
13;FFNN;prep_standard;BoW;(1, 2);SMOTETomek (Combined);0.6799580272822665;0.6225259565421969;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
14;Naive Bayes;prep_standard;BoW;(1, 2);Tomek (Undersampling);0.6799580272822665;0.623227044721745;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 2)"
15;FFNN;prep_standard;BoW;(1, 2);Tomek (Undersampling);0.7481636935991606;0.6882262755817213;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 2)"
16;Naive Bayes;prep_standard;BoW;(1, 3);None (Imbalanced);0.7177334732423925;0.6386264619570129;{'alpha': 0.5, 'fit_prior': True};"BoW
(1, 3)"
17;FFNN;prep_standard;BoW;(1, 3);None (Imbalanced);0.7366211962224554;0.6841395474052607;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
18;Naive Bayes;prep_standard;BoW;(1, 3);SMOTE (Oversampling);0.6925498426023085;0.60347864673617;{'alpha': 1.0, 'fit_prior': False};"BoW
(1, 3)"
19;FFNN;prep_standard;BoW;(1, 3);SMOTE (Oversampling);0.6820566631689402;0.6260858372125829;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
20;Naive Bayes;prep_standard;BoW;(1, 3);SMOTETomek (Combined);0.6873032528856243;0.5921628454420675;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 3)"
21;FFNN;prep_standard;BoW;(1, 3);SMOTETomek (Combined);0.6862539349422875;0.6295843899900375;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
22;Naive Bayes;prep_standard;BoW;(1, 3);Tomek (Undersampling);0.6820566631689402;0.6137775086401233;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 3)"
23;FFNN;prep_standard;BoW;(1, 3);Tomek (Undersampling);0.7376705141657922;0.6765225094144368;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 3)"
24;Naive Bayes;prep_standard;BoW;(1, 4);None (Imbalanced);0.6799580272822665;0.6037474260288106;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 4)"
25;FFNN;prep_standard;BoW;(1, 4);None (Imbalanced);0.7387198321091291;0.686880578551916;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
26;Naive Bayes;prep_standard;BoW;(1, 4);SMOTE (Oversampling);0.683105981112277;0.5800299854443335;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 4)"
27;FFNN;prep_standard;BoW;(1, 4);SMOTE (Oversampling);0.6663168940188877;0.6119347715803302;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
28;Naive Bayes;prep_standard;BoW;(1, 4);SMOTETomek (Combined);0.6841552990556139;0.5810854441858834;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 4)"
29;FFNN;prep_standard;BoW;(1, 4);SMOTETomek (Combined);0.6736621196222455;0.6210467945997408;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
30;Naive Bayes;prep_standard;BoW;(1, 4);Tomek (Undersampling);0.6862539349422875;0.6226213872839191;{'alpha': 0.5, 'fit_prior': False};"BoW
(1, 4)"
31;FFNN;prep_standard;BoW;(1, 4);Tomek (Undersampling);0.7355718782791185;0.6788899971011241;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 4)"
32;Naive Bayes;prep_standard;TF-IDF;(1, 1);None (Imbalanced);0.6946484784889821;0.6264133134744809;{'alpha': 1.0, 'fit_prior': False};"TF-IDF
(1, 1)"
33;FFNN;prep_standard;TF-IDF;(1, 1);None (Imbalanced);0.7502623294858342;0.6899186841025874;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
34;Naive Bayes;prep_standard;TF-IDF;(1, 1);SMOTE (Oversampling);0.6684155299055614;0.6143558268092738;{'alpha': 0.1, 'fit_prior': True};"TF-IDF
(1, 1)"
35;FFNN;prep_standard;TF-IDF;(1, 1);SMOTE (Oversampling);0.7366211962224554;0.6887044979665055;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
36;Naive Bayes;prep_standard;TF-IDF;(1, 1);SMOTETomek (Combined);0.6505771248688352;0.6082260699438716;{'alpha': 1.0, 'fit_prior': True};"TF-IDF
(1, 1)"
37;FFNN;prep_standard;TF-IDF;(1, 1);SMOTETomek (Combined);0.7292759706190975;0.6839728662299563;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
38;Naive Bayes;prep_standard;TF-IDF;(1, 1);Tomek (Undersampling);0.683105981112277;0.4907533258707198;{'alpha': 1.0, 'fit_prior': True};"TF-IDF
(1, 1)"
39;FFNN;prep_standard;TF-IDF;(1, 1);Tomek (Undersampling);0.7460650577124869;0.7017040233176894;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
40;Naive Bayes;prep_standard;TF-IDF;(1, 2);None (Imbalanced);0.7135362014690452;0.6148254166449826;{'alpha': 0.1, 'fit_prior': True};"TF-IDF
(1, 2)"
