Model,Strategy,Vectorizer,N-Gram,Accuracy,Macro-F1
Naive Bayes,prep_standard,BoW,"(1, 1)",0.6907216494845361,0.6171346880280756
Naive Bayes,prep_standard,TF-IDF,"(1, 1)",0.6793814432989691,0.6295711668899255
FFNN (Baseline),prep_standard,BoW,"(1, 1)",0.6845360824742268,0.646930383049786
FFNN (Baseline),prep_standard,TF-IDF,"(1, 1)",0.7505154639175258,0.7107877924069065
Naive Bayes,prep_standard,BoW,"(1, 2)",0.709278350515464,0.6303262598207381
Naive Bayes,prep_standard,TF-IDF,"(1, 2)",0.702061855670103,0.6598690355220045
FFNN (Baseline),prep_standard,BoW,"(1, 2)",0.6804123711340206,0.6440953412784399
FFNN (Baseline),prep_standard,TF-IDF,"(1, 2)",0.765979381443299,0.7238006412124744
Naive Bayes,prep_standard,BoW,"(1, 3)",0.7175257731958763,0.6303437601824698
Naive Bayes,prep_standard,TF-IDF,"(1, 3)",0.6917525773195876,0.651478534953167
FFNN (Baseline),prep_standard,BoW,"(1, 3)",0.6762886597938145,0.6321126922573268
FFNN (Baseline),prep_standard,TF-IDF,"(1, 3)",0.7649484536082474,0.7220728926671506
Naive Bayes,prep_standard,BoW,"(1, 4)",0.7247422680412371,0.6411581052044103
Naive Bayes,prep_standard,TF-IDF,"(1, 4)",0.6835051546391753,0.6385990049301048
FFNN (Baseline),prep_standard,BoW,"(1, 4)",0.6360824742268041,0.5898493669134481
FFNN (Baseline),prep_standard,TF-IDF,"(1, 4)",0.7577319587628866,0.7146712159218293
Naive Bayes,prep_standard,BoW,"(1, 5)",0.7237113402061855,0.6341432228407667
Naive Bayes,prep_standard,TF-IDF,"(1, 5)",0.6804123711340206,0.6365538635582241
FFNN (Baseline),prep_standard,BoW,"(1, 5)",0.6525773195876289,0.604340109094944
FFNN (Baseline),prep_standard,TF-IDF,"(1, 5)",0.765979381443299,0.7143707336660357
Naive Bayes,prep_standard,BoW,"(2, 2)",0.6927835051546392,0.6255946932439344
Naive Bayes,prep_standard,TF-IDF,"(2, 2)",0.656701030927835,0.6089622968106311
FFNN (Baseline),prep_standard,BoW,"(2, 2)",0.5835051546391753,0.5578321759569581
FFNN (Baseline),prep_standard,TF-IDF,"(2, 2)",0.7422680412371134,0.6869634029725814
Naive Bayes,prep_standard,BoW,"(2, 3)",0.6989690721649484,0.6339695318174092
Naive Bayes,prep_standard,TF-IDF,"(2, 3)",0.6463917525773196,0.5991230294055239
FFNN (Baseline),prep_standard,BoW,"(2, 3)",0.5515463917525774,0.5280896458068726
FFNN (Baseline),prep_standard,TF-IDF,"(2, 3)",0.734020618556701,0.6642345192407426
Naive Bayes,prep_standard,BoW,"(2, 4)",0.7103092783505155,0.6436531105520653
Naive Bayes,prep_standard,TF-IDF,"(2, 4)",0.6381443298969072,0.5896989341815028
FFNN (Baseline),prep_standard,BoW,"(2, 4)",0.5432989690721649,0.5184971795180865
FFNN (Baseline),prep_standard,TF-IDF,"(2, 4)",0.743298969072165,0.6653702504716668
Naive Bayes,prep_standard,BoW,"(2, 5)",0.711340206185567,0.6426437830097188
Naive Bayes,prep_standard,TF-IDF,"(2, 5)",0.6391752577319587,0.5897051984399364
FFNN (Baseline),prep_standard,BoW,"(2, 5)",0.5288659793814433,0.5088483146067416
FFNN (Baseline),prep_standard,TF-IDF,"(2, 5)",0.7381443298969073,0.66180969646685
Naive Bayes,prep_standard,BoW,"(3, 3)",0.6041237113402061,0.5644665540382225
Naive Bayes,prep_standard,TF-IDF,"(3, 3)",0.5793814432989691,0.5440130577317047
FFNN (Baseline),prep_standard,BoW,"(3, 3)",0.4020618556701031,0.40461427859754795
FFNN (Baseline),prep_standard,TF-IDF,"(3, 3)",0.7072164948453609,0.6273576771527662
Naive Bayes,prep_standard,BoW,"(3, 4)",0.5989690721649484,0.5566950209196375
Naive Bayes,prep_standard,TF-IDF,"(3, 4)",0.5670103092783505,0.5346947449693101
